Campaign Name,Tags,Subject,List,Send Time,Send Weekday,Total Recipients,Unique Placed Order,Placed Order Rate,Revenue,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Spam Complaints,Spam Complaints Rate,Successful Deliveries,Bounces,Bounce Rate,Campaign ID,Campaign Channel
Mercoledì 14/01 - Csmoke,,"C Smoke. Lenti sfumate, stile pulito, ego felice.",ENGAGED – 30/60 giorni,2026-01-14 16:00:00,Wednesday,4485.0,5.0,0.11%,157.89,3236.0,72.69%,4138.0,58.0,1.30%,83.0,22.0,0.0,0.00%,4452.0,33.0,0.74%,01KEY4633RBKANPC0T36P3H6ZX,Email
Venerdì 16/01 - Oni One,,Blood Money Empire.,ENGAGED – 30/60 giorni,2026-01-16 14:00:00,Friday,4496.0,7.0,0.16%,233.86,3198.0,71.62%,4095.0,74.0,1.66%,86.0,27.0,0.0,0.00%,4465.0,31.0,0.69%,01KF350PK92JHP6WGJPSADCW9K,Email
Mercoledì 21/01 - Quebec,,Invisibili. Ma non troppo.,ENGAGED – 30/60 giorni,2026-01-21 16:00:00,Wednesday,4554.0,2.0,0.04%,85.96,3208.0,71.98%,4141.0,60.0,1.35%,77.0,12.0,0.0,0.00%,4457.0,97.0,2.13%,01KFG4G3GYE6BW33PQ0FVCV317,Email
Sabato 27/01 - Mood2,,I vostri preferiti!,ENGAGED – 30/60 giorni,2026-01-24 16:15:00,Saturday,4523.0,4.0,0.09%,112.97,3516.0,78.33%,4896.0,95.0,2.12%,129.0,19.0,0.0,0.00%,4489.0,34.0,0.75%,01KFQY5ARFZ99TF31TKRXAK9AC,Email
Mercoledì 28/01 - Banlieue 2.0,,Banlieue 2.0 è arrivato!,ENGAGED – 30/60 giorni,2026-01-28 13:00:00,Wednesday,4517.0,4.0,0.09%,152.96,3280.0,73.18%,4204.0,80.0,1.79%,96.0,25.0,0.0,0.00%,4482.0,35.0,0.78%,01KG1XTEC44NB272047PGMTR2S,Email
Sabato 31/01 - Favela,,Modello Favela.,ENGAGED – 30/60 giorni,2026-01-31 13:00:00,Saturday,4495.0,5.0,0.11%,260.9,3252.0,72.80%,4139.0,29.0,0.65%,32.0,15.0,0.0,0.00%,4467.0,28.0,0.62%,01KG7SK90F1HJP2HQT869MHTCM,Email
Mercoledì 4/02 - Dump,,DUMP by Occhiale Matto!,ENGAGED – 30/60 giorni,2026-02-04 13:00:00,Wednesday,4520.0,2.0,0.04%,108.97,3265.0,72.60%,4127.0,48.0,1.07%,59.0,8.0,0.0,0.00%,4497.0,23.0,0.51%,01KGJ5X89SSPNDJ2VT3HKX80JR,Email
Venerdì 6/02 - Black Kaws,,BLACK KAWS è arrivato!,ENGAGED – 30/60 giorni,2026-02-06 13:30:00,Friday,4516.0,3.0,0.07%,109.98,3230.0,71.95%,4111.0,62.0,1.38%,70.0,10.0,0.0,0.00%,4489.0,27.0,0.60%,01KGS8SSA5G6KRHNR8Q3CSZ5HT,Email
Martedì 10/02 - San Valentino 1,,De Niro è arrivato!,ENGAGED – 30/60 giorni,2026-02-11 13:00:00,Wednesday,4555.0,7.0,0.15%,346.87,3302.0,72.99%,4224.0,62.0,1.37%,83.0,10.0,0.0,0.00%,4524.0,31.0,0.68%,01KH3QENSCGTDMS6Z5ZKY24C56,Email
Sabato 14/02 - Nuovi arrivi,,I nuovi arrivi!,ENGAGED – 30/60 giorni,2026-02-14 16:00:00,Saturday,4564.0,11.0,0.24%,448.82,3272.0,72.23%,4205.0,72.0,1.59%,111.0,8.0,0.0,0.00%,4530.0,34.0,0.74%,01KHE10329AJ4XBJXBHRJ5M7PF,Email
Merc 18/02 - Destino vs Banlieue,,Destino vs Banlieue.,ENGAGED – 30/60 giorni,2026-02-18 16:15:00,Wednesday,4595.0,8.0,0.18%,337.9,3283.0,71.96%,4182.0,70.0,1.53%,105.0,11.0,0.0,0.00%,4562.0,33.0,0.72%,01KHRFCG4MBKCTMTX5YKMR5XRZ,Email
Sabato 21/02 - Bamby,,Il nuovo Bamby è arrivato!,ENGAGED – 30/60 giorni,2026-02-23 13:30:00,Monday,4649.0,3.0,0.07%,172.94,3337.0,72.29%,4156.0,42.0,0.91%,51.0,12.0,1.0,0.02%,4616.0,33.0,0.71%,01KHXM4S5MCHP86RT7VCJSJJBG,Email
Mercoledì 25/02 - Fotocromatici Test Claude,,Fotocromatici matti!,ENGAGED – 30/60 giorni,2026-02-25 13:15:00,Wednesday,4659.0,11.0,0.24%,364.84,2785.0,60.15%,3459.0,61.0,1.32%,101.0,7.0,0.0,0.00%,4630.0,29.0,0.62%,01KHXYAWCVZSB3PNV4DG8GFQ8T,Email
Mercoledì 4/03 - Clinica Ottica,,Nuova Ottica!,ENGAGED – 30/60 giorni,2026-03-04 13:00:00,Wednesday,4744.0,9.0,0.19%,435.84,3201.0,67.96%,3979.0,6.0,0.13%,6.0,9.0,1.0,0.02%,4710.0,34.0,0.72%,01KJSXGBEDSHSVPJSERCKW5J8X,Email
Giovedì 5/03 - Nuovi arrivi,,Sono arrivati!,ENGAGED – 30/60 giorni,2026-03-05 13:30:00,Thursday,4779.0,16.0,0.34%,796.7,3298.0,69.47%,4079.0,137.0,2.89%,171.0,11.0,0.0,0.00%,4747.0,32.0,0.67%,01KJYN2J1N3ZSPCYBNTZFY265V,Email
emailprovasportuna,,Lo sapevi?,ENGAGED – 30/60 giorni,2026-03-10 13:00:00,Tuesday,4845.0,6.0,0.12%,216.9,3248.0,67.51%,3999.0,46.0,0.96%,61.0,6.0,1.0,0.02%,4811.0,34.0,0.70%,01KK76CNVYK3ZTVRXW890TCGGR,Email
emailprovasportuna,,Il sole non aspetta.,ENGAGED – 30/60 giorni,2026-03-12 13:00:00,Thursday,4874.0,7.0,0.14%,374.89,3265.0,67.38%,4026.0,78.0,1.61%,114.0,9.0,0.0,0.00%,4846.0,28.0,0.57%,01KK777DAEBQ4G5C9ABEDDGM30,Email
Mercoledì 21/01 - Quebec,,Scegli il tuo lato!,ENGAGED – 30/60 giorni,2026-03-17 13:00:00,Tuesday,4953.0,3.0,0.06%,152.96,3327.0,67.48%,4085.0,50.0,1.01%,68.0,15.0,0.0,0.00%,4930.0,23.0,0.46%,01KKGT2SACRKPNRJSAX4FR35RS,Email
Mercoledì 21/01 - Quebec,,Rivoli è arrivato!,ENGAGED – 30/60 giorni,2026-03-20 13:00:00,Friday,5010.0,7.0,0.14%,272.88,3396.0,68.12%,4163.0,82.0,1.65%,99.0,7.0,0.0,0.00%,4985.0,25.0,0.50%,01KKH8G68ZTZ9D4VJSBZRTB753,Email
E-mail 1,,Indovina quanti sono.,ENGAGED – 30/60 giorni,2026-03-24 14:00:00,Tuesday,5071.0,5.0,0.10%,148.94,3441.0,68.19%,4254.0,61.0,1.21%,78.0,15.0,0.0,0.00%,5046.0,25.0,0.49%,01KMFQXCNQWPNG7JXQSVTVPD2T,Email
E-mail 1,,Nuovi. Già iconici.,ENGAGED – 30/60 giorni,2026-03-28 13:30:00,Saturday,5056.0,4.0,0.08%,259.92,3499.0,69.60%,4220.0,93.0,1.85%,115.0,8.0,0.0,0.00%,5027.0,29.0,0.57%,01KMR1692RG35W0924HA56TM51,Email
E-mail 1,,Pacha è arrivato!,ENGAGED – 30/60 giorni,2026-03-31 14:00:00,Tuesday,5063.0,7.0,0.14%,271.88,3469.0,68.94%,4170.0,80.0,1.59%,94.0,14.0,0.0,0.00%,5032.0,31.0,0.61%,01KN1GSD3NADQE6H4QKCD8SXA7,Email
E-mail 1,,Stile anche a Pasqua.,ENGAGED – 30/60 giorni,2026-04-02 14:00:00,Thursday,5099.0,3.0,0.06%,165.94,3448.0,68.02%,4111.0,51.0,1.01%,89.0,8.0,0.0,0.00%,5069.0,30.0,0.59%,01KN6M373VTJK9TDDBMKCWZEP1,Email
E-mail 1,,Primavera Matta!,ENGAGED – 30/60 giorni,2026-04-08 14:30:00,Wednesday,5151.0,5.0,0.10%,286.9,3459.0,67.52%,4021.0,58.0,1.13%,74.0,7.0,0.0,0.00%,5123.0,28.0,0.54%,01KNP6K57Q19THQA9SVWHK4Q3Y,Email
E-mail 1,,Lo dicono loro...,ENGAGED – 30/60 giorni,2026-04-11 14:00:00,Saturday,5197.0,3.0,0.06%,142.94,3450.0,66.83%,3974.0,34.0,0.66%,45.0,6.0,0.0,0.00%,5162.0,35.0,0.67%,01KNW2HC1FTTPBJ29EXWRRBZF1,Email
E-mail 1,,Cardie è arrivato!,ENGAGED – 30/60 giorni,2026-04-14 14:30:00,Tuesday,5228.0,5.0,0.10%,188.94,3481.0,67.08%,3939.0,54.0,1.04%,62.0,9.0,0.0,0.00%,5189.0,39.0,0.75%,01KP5QFDBNSNA5KPJRN3489K5R,Email
E-mail 1,,"Uno, sempre giusto!",ENGAGED – 30/60 giorni,2026-04-16 14:00:00,Thursday,5258.0,3.0,0.06%,98.94,3300.0,63.29%,3681.0,34.0,0.65%,56.0,9.0,0.0,0.00%,5214.0,44.0,0.84%,01KPAMH77F9J504DRQVCXVWTMT,Email
